name,ticker,industry,NIFTY closing,Date,Market Capitalisation,EPS,P/E,P/B,Beta,Industry PE,Industry PB,Risk_Score,risk,alt-score
Endurance Technologies Ltd.,ENDURANCE,Auto Ancillaries,17359.75,31-03-2023,174654.03,28.58,43.45,5.24,1.0,18.5,2.4,0.326018018,Moderately risky,5.093850684
Equitas Small Finance Bank Ltd.,EQUITAS,Finance,17359.75,31-03-2023,74518.45,3.65,18.39,1.44,1.12,15.0,1.8,0.219,Moderately risky,0.109790841
Eris Lifesciences Ltd.,ERIS,Pharmaceuticals,17359.75,31-03-2023,77801.16,29.27,19.55,3.51,0.44,25.0,3.5,3.702142857,Investment Worthy,2.907545245
Esab India Ltd.,ESABINDIA,Capital Goods-Non Electrical Equipment,17359.75,31-03-2023,54381.23,85.04,41.54,20.89,1.0,17.5,2.5,-0.225714286,Moderately risky,12.31284923
Ester Industries Ltd.,ESTER,Packaging,17359.75,31-03-2023,7246.92,19.49,4.46,0.94,1.38,17.0,2.3,2.897951407,Non risky,2.013509441
Excel Industries Ltd.,EXCEL,IT - Software,17359.75,31-03-2023,9994.33,60.88,13.06,1.01,1.33,30.0,5.0,7.120666667,Investment Worthy,1.183605168
Exide Industries Ltd.,EXIDEIND,Auto Ancillaries,17359.75,31-03-2023,151257.5,10.53,16.9,1.35,0.96,18.5,2.4,1.616986486,Non risky,1.967353549
Expleo Solutions Ltd.,EXPLEOSOL,IT - Software,17359.75,31-03-2023,12598.77,117.71,10.44,2.69,1.19,30.0,5.0,12.695,Investment Worthy,4.199416776
Federal Bank Ltd.,FEDERALBNK,Banks,17359.75,31-03-2023,279973.41,13.53,9.78,1.3,1.41,12.5,1.5,1.293933333,Non risky,0.084634523
Federal-Mogul Goetze (India) Ltd.,FMGOETZE,Auto Ancillaries,17359.75,31-03-2023,16995.62,15.91,19.2,1.87,0.9,18.5,2.4,1.873995495,Non risky,2.245543945
Fiem Industries Ltd.,FIEMIND,Auto Ancillaries,17359.75,31-03-2023,20605.66,106.59,14.69,2.71,1.28,18.5,2.4,10.45577928,Investment Worthy,3.441510903
Filatex India Ltd.,FILATEX,Textiles,17359.75,31-03-2023,14198.51,2.03,15.79,1.28,1.65,15.0,1.8,-0.210777778,Moderately risky,2.209655629
Fineotex Chemical Ltd.,FCL,Chemicals,17359.75,31-03-2023,25815.46,4.7,49.57,9.58,1.87,20.0,3.5,-3.615642857,Highly risky,7.463292377
Finolex Cables Ltd.,FINCABLES,Cables,17359.75,31-03-2023,124278.51,32.81,24.77,3.38,1.26,14.5,1.8,1.43494636,Non risky,3.029393574
Finolex Industries Ltd.,FINPIPE,Plastic products,17359.75,31-03-2023,105853.36,3.45,49.39,2.19,1.14,15.5,2.0,-2.076451613,Highly risky,1.468743903
Firstsource Solutions Ltd.,FSL,IT - Software,17359.75,31-03-2023,73532.53,3.56,29.65,3.19,1.36,30.0,5.0,0.369666667,Moderately risky,2.983563205
Fortis Healthcare Ltd.,FORTIS,Healthcare,17359.75,31-03-2023,196213.62,0.54,480.44,2.19,0.62,22.0,3.0,-20.13418182,Highly risky,1.519550463
Foseco India Ltd.,FOSECOIND,Chemicals,17359.75,31-03-2023,14044.46,72.79,30.21,5.55,0.86,20.0,3.5,6.322785714,Investment Worthy,4.999768113
Gabriel India Ltd.,GABRIEL,Auto Ancillaries,17359.75,31-03-2023,19542.76,9.16,14.86,2.25,1.4,18.5,2.4,0.775256757,Non risky,3.598213687
Gallantt Ispat Ltd.,GALLISPAT,Steel,17359.75,31-03-2023,13427.28,5.84,9.53,0.6,1.02,15.5,1.9,1.633371817,Non risky,1.893779741
Gandhi Special Tubes Ltd.,GANDHITUBE,Steel,17359.75,31-03-2023,5946.58,38.94,12.57,3.27,0.84,15.5,1.9,3.521979626,Investment Worthy,3.713201242
Ganesha Ecosphere Ltd.,GANECOS,Textiles,17359.75,31-03-2023,18431.65,33.59,25.14,2.82,1.27,15.0,1.8,1.846333333,Non risky,2.977879472
Garden Reach Shipbuilders & Engineers Ltd.,GRSE,Ship Building,17359.75,31-03-2023,52166.98,19.05,23.91,3.69,1.04,14.0,1.6,-0.149107143,Moderately risky,0.490359001
Gati Ltd.,GATI,Logistics,17359.75,31-03-2023,13078.08,0.19,529.48,1.88,1.11,18.0,2.2,-28.36110101,Highly risky,2.033772037
Geekay Wires Ltd.,GEEKAYWIRE,Cables,17359.75,31-03-2023,1683.82,26.22,6.14,2.44,0.22,14.5,1.8,3.622996169,Investment Worthy,2.449784496
Genus Power Infrastructures Ltd.,GENUSPOWER,Consumer Durables,17359.75,31-03-2023,21818.34,1.35,62.62,2.22,1.5,20.0,2.5,-2.384,Highly risky,3.119644352
Gillette India Ltd.,GILLETTE,FMCG,17359.75,31-03-2023,140641.06,100.43,42.98,15.74,0.46,30.0,6.0,8.527,Investment Worthy,8.677926322
Glenmark Pharmaceuticals Ltd.,GLENMARK,Pharmaceuticals,17359.75,31-03-2023,131123.54,60.41,7.69,0.73,0.96,25.0,3.5,7.564828571,Investment Worthy,0.779063416
Globe International Carriers Ltd.,GLOBE,Textiles,17080.7,29-03-2023,813.99,0.74,55.0,3.03,-0.12,15.0,1.8,-2.156,Highly risky,2.981317701
Globus Spirits Ltd.,GLOBUSSPR,Alcoholic Beverages,17359.75,31-03-2023,22368.21,41.78,18.59,2.52,1.26,20.0,3.0,4.1485,Investment Worthy,2.630295917
Godfrey Phillips India Ltd.,GFLLIMITED,Finance,17359.75,31-03-2023,94615.94,117.01,15.55,2.97,0.96,15.0,1.8,11.05433333,Investment Worthy,2.327950071
Godrej Agrovet Ltd.,GODREJAGRO,Miscellaneous,17359.75,31-03-2023,79304.8,11.84,34.85,3.81,0.84,18.5,2.5,-0.063783784,Moderately risky,3.03551916
Godrej Consumer Products Ltd.,GODREJCP,FMCG,17359.75,31-03-2023,990122.47,15.07,64.24,10.57,0.77,30.0,6.0,-0.166,Moderately risky,4.968237269
Godrej Industries Ltd.,GODREJIND,Chemicals,17359.75,31-03-2023,135951.36,6.91,58.46,7.92,0.95,20.0,3.5,-2.444857143,Highly risky,-0.616911062
Gokaldas Exports Ltd.,GOKEX,Readymade Garments/ Apparells,17359.75,31-03-2023,21565.77,27.75,12.83,2.42,1.21,18.0,2.5,2.884222222,Non risky,3.960995337
Goldiam International Ltd.,GOLDIAM,"Diamond, Gems and Jewellery",17359.75,31-03-2023,14003.24,5.22,24.62,5.21,1.25,20.0,3.5,-0.447571429,Moderately risky,3.376097575
Granules India Ltd.,GRANULES,Pharmaceuticals,17359.75,31-03-2023,70361.83,20.54,14.15,2.61,0.98,25.0,3.5,2.762285714,Non risky,2.292671213
Gravita India Ltd.,GRAVITA,Non Ferrous Metals,17359.75,31-03-2023,33459.23,15.08,32.14,10.85,1.32,14.0,1.5,-6.341047619,Highly risky,7.291793135
Greaves Cotton Ltd.,GREAVESCOT,Capital Goods-Non Electrical Equipment,17359.75,31-03-2023,29199.3,4.42,28.53,2.79,1.41,17.5,2.5,-0.714285714,Moderately risky,2.375016222
Greenpanel Industries Ltd.,GREENPANEL,Miscellaneous,17359.75,31-03-2023,33360.78,18.33,14.84,2.78,1.23,18.5,2.5,1.688837838,Non risky,2.973744022
Greenply Industries Ltd.,GREENPLY,Miscellaneous,17359.75,31-03-2023,17073.68,6.43,21.63,2.72,1.34,18.5,2.5,0.045810811,Moderately risky,3.241651201
Grindwell Norton Ltd.,GRINDWELL,Capital Goods-Non Electrical Equipment,17359.75,31-03-2023,207976.45,31.55,59.54,11.65,0.74,17.5,2.5,-2.647285714,Highly risky,4.922147535
Gufic Biosciences Ltd.,GUFICBIO,Pharmaceuticals,17359.75,31-03-2023,18070.46,8.22,22.67,5.2,1.23,25.0,3.5,0.199485714,Moderately risky,5.353311447
Gujarat Alkalies & Chemicals Ltd.,GUJALKALI,Chemicals,17359.75,31-03-2023,42971.62,78.39,7.46,0.67,1.37,20.0,3.5,8.904571429,Investment Worthy,0.935848273
Gujarat Ambuja Exports Ltd.,GAEL,Edible Oil,17359.75,31-03-2023,53286.06,14.4,16.14,2.18,1.14,15.0,1.7,0.941647059,Non risky,3.032131451
Gujarat Gas Ltd.,GUJGASLTD,Miscellaneous,17359.75,31-03-2023,316384.1,22.16,20.74,4.53,0.79,18.5,2.5,1.492918919,Non risky,3.493569883
Gujarat Narmada Valley Fertilizers & Chemicals Ltd.,GNFC,Fertilizers,17359.75,31-03-2023,79162.56,91.3,5.58,0.88,1.35,12.0,1.4,9.686428571,Investment Worthy,0.738924965
Gujarat Pipavav Port Ltd.,GPPL,Marine Port & Services,17359.75,31-03-2023,56296.58,6.81,17.09,2.71,0.75,18.0,2.5,0.897555556,Non risky,1.310556091
Gujarat State Fertilizers & Chemicals Ltd.,GSFC,Fertilizers,17359.75,31-03-2023,47418.83,31.78,3.74,0.4,1.45,12.0,1.4,4.130619048,Investment Worthy,1.070793053
Gujarat State Petronet Ltd.,GSPL,Gas Distribution,17359.75,31-03-2023,149516.01,16.75,15.82,1.61,0.85,15.0,1.8,1.875888889,Non risky,0.246035613
Gulf Oil Lubricants India Ltd.,GULFOILLUB,Chemicals,17359.75,31-03-2023,19824.96,47.03,8.6,1.68,0.66,20.0,3.5,6.133,Investment Worthy,2.385023375
Gulshan Polyols Ltd.,GULPOLY,Chemicals,17359.75,31-03-2023,10514.64,8.73,23.18,1.83,1.36,20.0,3.5,0.831142857,Non risky,1.848548354
Harrisons Malayalam Ltd.,HARRMALAYA,Plantation & Plantation Products,17359.75,31-03-2023,1978.42,9.63,11.13,1.27,1.14,16.0,2.0,1.492375,Non risky,1.149915003
Hathway Cable & Datacom Ltd.,HATHWAY,Entertainment,17359.75,31-03-2023,22922.85,0.43,29.92,0.51,1.0,25.0,4.0,0.7187,Moderately risky,0.4569439
Havells India Ltd.,HAVELLS,Capital Goods - Electrical Equipment,17359.75,31-03-2023,744606.82,17.21,69.07,11.26,1.11,18.5,2.3,-5.018165687,Highly risky,5.882983489
Heidelberg Cement India Ltd.,HEIDELBERG,Cement,17359.75,31-03-2023,36473.38,4.38,36.78,2.5,1.03,17.5,2.5,-0.693714286,Moderately risky,1.405680739
Hercules Hoists Ltd.,HERCULES,Capital Goods-Non Electrical Equipment,17359.75,31-03-2023,5708.8,5.34,33.42,0.8,1.34,17.5,2.5,-0.035714286,Moderately risky,1.277618895
Hester Biosciences Ltd.,HESTERBIO,Pharmaceuticals,17359.75,31-03-2023,12954.25,37.99,40.08,4.43,0.72,25.0,3.5,3.210085714,Investment Worthy,2.175789051
Hi-Tech Pipes Ltd.,HITECH,Steel,17359.75,31-03-2023,10205.71,2.77,28.81,3.64,1.53,15.5,1.9,-2.027499151,Highly risky,4.246823975
Hindalco Industries Ltd.,HINDALCO,Non Ferrous Metals,17359.75,31-03-2023,910900.33,14.22,28.51,1.56,1.59,14.0,1.5,-0.244428571,Moderately risky,1.40371127
Hindustan Copper Ltd.,HINDCOPPER,Non Ferrous Metals,17359.75,31-03-2023,95106.81,3.05,32.21,4.54,1.65,14.0,1.5,-3.672380952,Highly risky,3.107296567
Hindustan Unilever Ltd.,HINDUNILVR,FMCG,17359.75,31-03-2023,6015775.99,41.42,61.81,11.98,0.48,30.0,6.0,2.605,Non risky,5.693091997
Hindustan Zinc Ltd.,HINDZINC,Non Ferrous Metals,17359.75,31-03-2023,1239497.33,24.76,11.85,9.58,0.83,14.0,1.5,-2.587095238,Highly risky,1.977933717
Honeywell Automation India Ltd.,HONAUT,Consumer Durables,17359.75,31-03-2023,321700.58,442.67,82.19,10.09,0.92,20.0,2.5,38.2015,Investment Worthy,4.025546206
Ice Make Refrigeration Ltd.,ICEMAKE,Engineering,17359.75,31-03-2023,4137.45,13.4,19.57,4.88,0.95,16.5,2.2,-0.014242424,Moderately risky,5.813719532
Ind-Swift Laboratories Ltd.,INDSWFTLAB,Pharmaceuticals,17359.75,31-03-2023,3261.59,11.74,4.7,0.68,0.66,25.0,3.5,3.131714286,Non risky,1.098361075
Indbank Merchant Banking Services Ltd.,INDBANK,Stock/ Commodity Brokers,17359.75,31-03-2023,936.38,0.1,208.08,1.26,1.64,17.0,2.2,-11.44272727,Highly risky,0.776882713
India Glycols Ltd.,INDIAGLYCO,Chemicals,17359.75,31-03-2023,19028.94,28.25,21.75,1.2,1.44,20.0,3.5,2.954642857,Non risky,1.917035448
India Nippon Electricals Ltd.,INDNIPPON,Auto Ancillaries,17359.75,31-03-2023,7474.12,27.98,11.81,1.33,1.29,18.5,2.4,3.315454955,Investment Worthy,2.026729626
Indian Bank,INDIANB,Banks,17359.75,31-03-2023,359372.04,24.93,11.58,0.86,1.68,12.5,1.5,2.313266667,Non risky,-0.034042398
Indian Energy Exchange Ltd.,IEX,Miscellaneous,17359.75,31-03-2023,114092.09,3.28,39.01,14.54,0.92,18.5,2.5,-5.516648649,Highly risky,5.005359692
Indian Metals & Ferro Alloys Ltd.,IMFA,Mining & Mineral products,17359.75,31-03-2023,15374.22,49.2,5.79,0.83,1.4,15.0,2.0,5.719,Investment Worthy,1.355870773
Indian Overseas Bank,IOB,Banks,17359.75,31-03-2023,424359.16,0.86,26.16,1.89,1.18,12.5,1.5,-1.4468,Moderately risky,0.114487329
Indian Terrain Fashions Ltd.,INDTERRAIN,Textiles,17359.75,31-03-2023,1997.55,1.41,32.06,0.94,1.38,15.0,1.8,-0.898555556,Moderately risky,1.546854874
Indo Tech Transformers Ltd.,INDOTECH,Capital Goods - Electrical Equipment,17359.75,31-03-2023,1826.11,24.2,7.11,1.07,1.16,18.5,2.3,3.410458284,Investment Worthy,2.28885495
Indoco Remedies Ltd.,INDOCO,Pharmaceuticals,17359.75,31-03-2023,29971.9,15.34,21.2,2.92,1.03,25.0,3.5,1.821714286,Non risky,2.242640633
Indraprastha Gas Ltd.,IGL,Gas Distribution,17359.75,31-03-2023,300090.34,20.73,20.68,4.23,0.82,15.0,1.8,0.524333333,Moderately risky,2.910531484
Industrial Investment Trust Ltd.,IITL,Finance,17359.75,31-03-2023,1904.14,1.22,69.49,0.54,1.18,15.0,1.8,-2.990666667,Highly risky,0.341457952
Infibeam Avenues Ltd.,INFIBEAM,IT - Software,17359.75,31-03-2023,37890.6,0.51,27.97,1.31,1.34,30.0,5.0,0.516666667,Moderately risky,1.051547762
Info Edge (India) Ltd.,NAUKRI,E-Commerce/App based Aggregator,17359.75,31-03-2023,481023.53,54.25,68.64,4.4,1.1,30.0,4.5,4.059222222,Investment Worthy,1.792915209
Infosys Ltd.,INFY,IT - Software,17359.75,31-03-2023,5923936.31,55.81,25.59,8.74,0.65,30.0,5.0,5.33,Investment Worthy,4.753337972
Innovana Thinklabs Ltd.,INNOVANA,IT - Software,17359.75,31-03-2023,6375.5,8.56,36.35,8.69,0.51,30.0,5.0,0.396333333,Moderately risky,6.662333601
Insecticides (India) Ltd.,INSECTICID,Agro Chemicals,17359.75,31-03-2023,13820.71,21.28,21.94,1.51,0.99,18.0,2.0,2.164111111,Non risky,1.795289542
Inspirisys Solutions Ltd.,INSPIRISYS,IT - Software,17359.75,31-03-2023,1751.07,4.08,10.84,1.95,1.31,30.0,5.0,1.346666667,Non risky,2.373227148
Intellect Design Arena Ltd.,INTELLECT,IT - Software,17359.75,31-03-2023,55727.69,9.87,41.61,3.61,1.72,30.0,5.0,0.158,Moderately risky,2.787285156
Intrasoft Technologies Ltd.,ISFT,IT - Software,17359.75,31-03-2023,1448.12,0.7,140.59,1.27,1.05,30.0,5.0,-2.920333333,Highly risky,0.952632789
Inventure Growth & Securities Ltd.,INVENTURE,Finance,17359.75,31-03-2023,1386.0,0.05,35.36,0.82,1.16,15.0,1.8,-0.967888889,Moderately risky,0.439814194
Jagran Prakashan Ltd.,JAGRAN,Media - Print/Television/Radio,17359.75,31-03-2023,15790.82,9.42,7.7,1.17,0.76,18.0,2.5,2.286222222,Non risky,0.659549955
Jagsonpal Pharmaceuticals Ltd.,JAGSNPHARM,Pharmaceuticals,17359.75,31-03-2023,7592.18,10.82,26.78,4.78,1.42,25.0,3.5,0.225085714,Moderately risky,4.876130906
Jai Corp Ltd.,JAICORPLTD,Plastic products,17359.75,31-03-2023,24724.17,0.15,954.6,2.23,1.96,15.5,2.0,-61.64709677,Highly risky,2.009807608
Jain Irrigation Systems Ltd.,JISLJALEQS,Plastic products,17359.75,31-03-2023,20709.08,0.57,59.89,0.46,1.74,15.5,2.0,-2.776870968,Highly risky,0.843278556
Jaiprakash Power Ventures Ltd.,JPPOWER,Power Generation & Distribution,17359.75,31-03-2023,38036.7,0.2,27.97,0.55,1.6,15.5,2.0,-0.659516129,Moderately risky,0.771394882
Jammu & Kashmir Bank Ltd.,J&KBANK,Banks,17359.75,31-03-2023,50594.09,11.17,4.39,0.58,1.51,12.5,1.5,1.869133333,Non risky,-0.023940457
Jash Engineering Ltd.,JASH,Capital Goods-Non Electrical Equipment,17359.75,31-03-2023,10099.75,33.92,24.75,4.28,1.13,17.5,2.5,2.135714286,Non risky,3.223741656
Jay Bharat Maruti Ltd.,JAYBARMARU,Auto Ancillaries,17359.75,31-03-2023,5756.73,8.67,15.34,1.14,1.73,18.5,2.4,0.832810811,Non risky,2.231533692
Jayant Agro-Organics Ltd.,JAYAGROGN,Chemicals,17359.75,31-03-2023,4402.5,13.97,10.5,1.05,1.43,20.0,3.5,2.142,Non risky,2.992196632
Jet Freight Logistics Ltd.,JETFREIGHT,Air Transport Service,17359.75,31-03-2023,547.56,0.03,456.3,0.88,0.57,12.5,1.5,-34.65766667,Highly risky,2.814444912
Jet Knitwears Ltd.,JETKNIT,Textiles,16951.7,28-03-2023,283.38,2.38,26.99,1.33,0.63,15.0,1.8,0.069777778,Moderately risky,1.556949153
Jindal Photo Ltd.,JINDALPHOT,Finance,17359.75,31-03-2023,2800.52,152.41,1.79,1.61,1.54,15.0,1.8,15.68722222,Investment Worthy,2.332226536
Jindal Poly Films Ltd.,JINDALPOLY,Packaging,17359.75,31-03-2023,21930.42,145.37,3.45,0.4,1.25,17.0,2.3,15.91014578,Investment Worthy,1.677916529
Jindal Stainless Ltd.,JSL,Steel,17359.75,31-03-2023,238631.34,24.28,11.93,2.08,1.44,15.5,1.9,2.123585739,Non risky,2.236354372
Jindal Steel & Power Ltd.,JINDALSTEL,Steel,17359.75,31-03-2023,557172.12,54.08,10.1,1.37,2.03,15.5,1.9,5.005334465,Investment Worthy,0.900440155
Jindal Worldwide Ltd.,JINDWORLD,Textiles,17359.75,31-03-2023,64316.92,5.68,56.46,9.94,1.05,15.0,1.8,-6.768222222,Highly risky,5.794912663
Jubilant Foodworks Ltd.,JUBLFOOD,Quick Service Restaurant,17359.75,31-03-2023,290397.87,6.07,72.55,13.54,0.93,25.0,4.0,-3.61,Highly risky,5.106577906
Jubilant Industries Ltd.,JUBLINDS,Chemicals,17359.75,31-03-2023,5846.79,6.21,62.53,1.92,1.23,20.0,3.5,-1.284071429,Moderately risky,1.953511665
Jullundur Motor Agency (Delhi) Ltd.,JMA,Auto Ancillaries,17359.75,31-03-2023,1373.89,9.97,6.03,0.77,1.1,18.5,2.4,2.250220721,Non risky,1.996377275
Just Dial Ltd.,JUSTDIAL,E-Commerce/App based Aggregator,17359.75,31-03-2023,50187.62,19.3,30.84,1.37,1.23,30.0,4.5,2.367555556,Non risky,1.05943029
Jyothy Labs Ltd.,JYOTHYLAB,FMCG,17359.75,31-03-2023,69953.25,5.58,34.13,7.94,0.78,30.0,6.0,0.317,Moderately risky,5.951592825
Kabra Extrusion Technik Ltd.,KABRAEXTRU,Capital Goods-Non Electrical Equipment,17359.75,31-03-2023,16266.49,11.29,42.89,4.23,1.28,17.5,2.5,-1.293857143,Moderately risky,2.833830134
Kajaria Ceramics Ltd.,KAJARIACER,Ceramic Products,17359.75,31-03-2023,167878.88,21.69,48.6,7.24,1.04,15.0,2.0,-2.731,Highly risky,5.75635788
Kalyani Forge Ltd.,KALYANIFRG,"Castings, Forgings & Fastners",17359.75,31-03-2023,810.91,1.87,119.25,0.77,0.99,16.0,2.0,-5.641125,Highly risky,1.967660691
Kalyani Steels Ltd.,KSL,Steel,17359.75,31-03-2023,12868.92,37.98,7.76,0.86,1.58,15.5,1.9,4.26472326,Investment Worthy,1.314146408
Kamat Hotels (India) Ltd.,KAMATHOTEL,Hotels & Restaurants,17359.75,31-03-2023,3241.85,25.47,5.16,1.4,1.87,20.0,3.0,2.952333333,Non risky,2.142931224
Kamdhenu Ltd.,KAMDHENU,Steel,17359.75,31-03-2023,8434.85,15.17,20.64,5.06,1.63,15.5,1.9,-1.107770798,Moderately risky,5.2167689
Kanani Industries Ltd.,KANANIIND,"Diamond, Gems and Jewellery",17359.75,31-03-2023,593.6,0.05,114.15,1.33,0.98,20.0,3.5,-4.0625,Highly risky,1.772673928
Kansai Nerolac Paints Ltd.,KANSAINER,Paints/Varnish,17359.75,31-03-2023,208454.15,8.88,43.54,4.52,0.95,20.0,2.5,-1.047,Moderately risky,4.039717642
Karma Energy Ltd.,KARMAENG,Power Generation & Distribution,17359.75,31-03-2023,397.43,1.26,27.22,1.03,0.97,15.5,2.0,-0.115129032,Moderately risky,0.704141016
